,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Faculty of MASSCOM and FSSR,0,0.33036,0.33395,0.88876,1.09825,1.70336,1.43783,1.73469,0.7232,0.92423,0.93298,2.19075,1.84272,0.46527,0.665,0.81345,0.95382,0.96628,1.4209,0.80447,0.7775,1.68796,1.32225,0.56504,1.8117,1.51213,1.036,0.93478,0.41304,0.47382,0.99517,1.29494,0.92423,0.7643,0.74778,0.49476,0.7643,0.45783,1.79995,0.70751,1.77767,1.83504,1.88582,1.78525,1.67343,1.88582,1.78328,1.86046,1.78328,1.78328,1.69695,1.71736,1.52306,1.50989,1.67343,1.67343,2.19075,1.86034,1.9397,1.67662,1.61906,1.80336,1.56933,1.60724,1.84553,1.76734,1.69412,1.69412,1.69412,1.56428,1.27264,1.1944,0.69769,1.98082,1.63325,1.38575,1.50989,1.79339
Fakulti Sains Komputer & Matematik 1,0.33036,0,0.32631,0.71077,1.0412,1.44711,1.42463,1.47844,0.46695,0.66798,0.67673,2.17754,1.58647,0.20902,0.40876,0.63087,0.90564,0.9181,1.36995,0.79126,0.52125,1.63702,1.26519,0.30879,1.55545,1.25588,1.02279,0.92158,0.4171,0.49583,0.73892,1.03869,0.66798,0.50805,0.49153,0.23852,0.50805,0.20158,1.5437,0.72952,1.76447,1.82183,1.87262,1.77204,1.44609,1.87262,1.52703,1.60421,1.52703,1.52703,1.4407,1.46111,1.26681,1.38733,1.44609,1.44609,2.17754,1.60409,1.68345,1.42037,1.36281,1.54711,1.31308,1.35099,1.79458,1.71639,1.64317,1.64317,1.64317,1.51333,1.22445,1.13735,0.44144,1.72924,1.62005,1.3348,1.38733,1.53714
Fakulti Sains Komputer & Matematik 2,0.33395,0.32631,0,0.77124,0.98073,1.69932,1.51048,1.73065,0.71916,0.92019,0.92894,2.2634,1.83868,0.46123,0.66096,0.69593,0.8363,0.84876,1.30338,0.87711,0.6651,1.57045,1.20473,0.561,1.80765,1.50809,1.10865,1.00743,0.27758,0.35631,0.99112,1.2909,0.92019,0.76026,0.7072,0.49072,0.76026,0.45379,1.79591,0.59,1.85032,1.90769,1.95847,1.8579,1.6983,1.95847,1.77924,1.85642,1.77924,1.77924,1.69291,1.71332,1.51902,1.58254,1.6983,1.6983,2.2634,1.8563,1.93565,1.67258,1.61502,1.79932,1.56529,1.6032,1.72802,1.64982,1.5766,1.5766,1.5766,1.44676,1.15512,1.07689,0.69365,1.8633,1.7059,1.26823,1.58254,1.78935
Kolej Melati,0.88876,0.71077,0.77124,0,0.68654,1.3908,1.5019,1.42213,0.8826,0.61166,0.62041,2.31455,1.53015,0.62467,0.30201,0.27622,0.55098,0.56344,1.01529,1.42792,0.24134,1.28236,0.91054,0.72444,1.49913,1.19957,1.65945,1.55824,0.66286,0.68567,0.6826,0.98237,0.61166,0.40387,0.28344,0.65417,0.40387,0.50919,1.48739,0.4382,1.77146,1.82882,2.00962,1.90905,1.38977,2.00962,1.47071,1.54789,1.47071,1.47071,1.38438,1.4048,1.21049,1.33101,1.38977,1.38977,2.31455,1.54777,1.62713,1.36405,1.30649,1.49079,1.25676,1.29467,1.43993,1.36174,1.28852,1.28852,1.28852,1.15867,0.8698,0.78269,0.33726,1.57521,1.72715,0.98015,1.33101,1.48082
Kolej Mawar,1.09825,1.0412,0.98073,0.68654,0,1.68606,1.79717,1.71739,1.1939,0.90693,0.91567,2.60981,1.82542,0.9551,0.63244,0.4756,0.19706,0.42058,0.56255,1.65876,0.51999,0.82961,0.45779,1.03575,1.7944,1.49483,1.8903,1.78908,0.87236,0.89517,0.97786,1.27764,0.90693,0.7267,0.54967,0.96547,0.7267,0.83962,1.78265,0.58912,2.06672,2.12409,2.30489,2.20431,1.68504,2.30489,1.76598,1.84316,1.76598,1.76598,1.67965,1.70006,1.50576,1.62628,1.68504,1.68504,2.60981,1.84304,1.92239,1.65932,1.60176,1.78606,1.49373,1.58994,0.98718,0.90899,0.83577,0.83577,0.83577,0.70592,0.4256,0.32995,0.66009,1.12247,2.02242,0.5274,1.62628,1.77609
Block B Faculty Of Applied Sciences,1.70336,1.44711,1.69932,1.3908,1.68606,0,0.61947,0.03133,1.56705,1.07514,0.77039,1.34254,0.42587,1.36102,1.08879,1.27573,1.5505,1.56296,1.77998,1.14458,1.1867,1.67297,1.91005,1.4089,0.39485,0.41726,1.59228,1.49106,1.70618,1.72899,1.19134,0.41638,1.07514,1.12015,1.1446,1.33862,1.12015,1.29596,0.70508,1.48152,0.66718,0.72454,1.08017,0.9796,0.45666,1.08017,0.07992,0.24532,0.07992,0.07992,0.03363,0.014,0.27738,0.3979,0.45666,0.45666,1.34254,0.44349,0.52285,0.25977,0.20221,0.38651,0.69078,0.72869,1.19733,1.57778,1.67913,1.67913,1.67913,1.54928,1.86931,1.78221,1.05354,1.10694,0.84145,1.89565,0.3979,0.47332
Kolej Seroja,1.43783,1.42463,1.51048,1.5019,1.79717,0.61947,0,0.6508,1.67816,1.18624,0.88149,0.96711,0.65421,1.47212,1.19989,1.38684,1.66161,1.67406,2.0263,0.67463,1.2978,1.91929,2.02116,1.52,0.87566,0.45185,1.12232,1.0211,1.60127,1.6677,1.30244,0.6627,1.18624,1.23125,1.2557,1.44972,1.23125,1.40707,0.73967,1.59263,0.55404,0.6114,0.66219,0.56162,0.38767,0.66219,0.69939,0.77656,0.69939,0.69939,0.61306,0.63347,0.41096,0.22412,0.38767,0.38767,0.96711,0.67183,0.91382,0.74058,0.68302,0.86732,0.9371,0.975,1.44364,1.8241,1.92545,1.92545,1.92545,1.7956,1.98042,1.89332,1.16464,1.35325,0.37972,2.09077,0.22412,0.95413
Block C Faculty Of Applied Sciences,1.73469,1.47844,1.73065,1.42213,1.71739,0.03133,0.6508,0,1.59838,1.10646,0.80172,1.37386,0.4572,1.39235,1.12012,1.30706,1.58183,1.59429,1.81131,1.17591,1.21803,1.7043,1.94138,1.44022,0.42618,0.44859,1.6236,1.52239,1.73751,1.76032,1.22267,0.44771,1.10646,1.15148,1.17593,1.36995,1.15148,1.32729,0.73641,1.51285,0.69851,0.75587,1.1115,1.01093,0.48799,1.1115,0.04859,0.27665,0.04859,0.04859,0.06496,0.04533,0.30871,0.42923,0.48799,0.48799,1.37386,0.47482,0.55418,0.2911,0.23354,0.41784,0.72211,0.76002,1.22866,1.60911,1.71046,1.71046,1.71046,1.58061,1.90064,1.81354,1.08486,1.13826,0.87278,1.92698,0.42923,0.50465
Kolej Delima 1,0.7232,0.46695,0.71916,0.8826,1.1939,1.56705,1.67816,1.59838,0,0.78792,0.79667,2.4908,1.70641,0.38085,0.58059,0.78358,1.05834,1.0708,1.52266,1.1841,0.69308,1.78972,1.4179,0.16013,1.67539,1.37582,1.41564,1.31442,0.80995,0.88867,0.85886,1.15863,0.78792,0.62799,0.65244,0.22844,0.62799,0.37341,1.66364,0.97333,1.94771,2.00508,2.18588,2.08531,1.56603,2.18588,1.64697,1.72415,1.64697,1.64697,1.56064,1.58105,1.38675,1.50727,1.56603,1.56603,2.4908,1.72403,1.80339,1.54031,1.48275,1.66705,1.43302,1.47093,1.93957,1.8691,1.79588,1.79588,1.79588,1.66603,1.37716,1.29005,0.56138,1.84918,1.90341,1.48751,1.50727,1.65708
Kolej Delima 3,0.92423,0.66798,0.92019,0.61166,0.90693,1.07514,1.18624,1.10646,0.78792,0,0.30475,1.99889,1.21449,0.58188,0.30965,0.4966,0.77137,0.78383,1.23568,1.38513,0.40757,1.50275,1.13092,0.62976,1.18347,0.8839,1.61667,1.51545,0.92705,0.94986,0.41221,0.66671,0,0.34101,0.36547,0.55949,0.34101,0.51683,1.17172,0.70239,1.4558,1.51316,1.69396,1.59339,1.07411,1.69396,1.15505,1.23223,1.15505,1.15505,1.06872,1.08914,0.89483,1.01535,1.07411,1.07411,1.99889,1.23211,1.31147,1.04839,0.99083,1.17513,0.9411,0.97901,1.44765,1.58212,1.5089,1.5089,1.5089,1.37906,1.09018,1.00308,0.2744,1.35726,1.41149,1.20053,1.01535,1.16516
Kolej Delima 2 (Pusat Kokurikulum),0.93298,0.67673,0.92894,0.62041,0.91567,0.77039,0.88149,0.80172,0.79667,0.30475,0,1.69414,0.90974,0.59063,0.3184,0.50535,0.78011,0.79257,1.24443,1.39388,0.41631,1.51149,1.13967,0.63851,0.87872,0.57916,1.62541,1.5242,0.9358,0.9586,0.42095,0.36196,0.30475,0.34976,0.37421,0.56823,0.34976,0.52558,0.86698,0.71113,1.15105,1.20841,1.38921,1.28864,0.76936,1.38921,0.85031,0.92748,0.85031,0.85031,0.76398,0.78439,0.59009,0.7106,0.76936,0.76936,1.69414,0.92736,1.00672,0.74365,0.68608,0.87038,0.63636,0.67426,1.1429,1.52336,1.51765,1.51765,1.51765,1.3878,1.09893,1.01183,0.28315,1.05251,1.10674,1.20928,0.7106,0.86041
Faculty of Art and Design,2.19075,2.17754,2.2634,2.31455,2.60981,1.34254,0.96711,1.37386,2.4908,1.99889,1.69414,0,0.91666,2.28477,2.01254,2.19948,2.47425,2.48671,2.82804,1.42754,2.11045,2.72103,2.83381,2.33265,1.21784,1.26449,1.87524,1.77402,2.35418,2.42062,2.11509,1.46444,1.99888,2.0439,2.06835,2.26237,2.0439,2.21971,1.55231,2.40527,0.81649,0.87386,0.9672,0.86663,1.19449,0.9672,1.42245,1.49963,1.42245,1.42245,1.33612,1.35654,1.21778,1.03095,1.19449,1.19449,0,0.93429,1.17628,1.08276,1.14032,1.32462,1.73884,1.77675,2.24539,2.62584,2.72719,2.72719,2.72719,2.59734,2.79306,2.70596,1.97729,2.155,1.05353,2.90342,1.03095,1.52138
Perpustakaan Tun Abdul Razak 1,1.84272,1.58647,1.83868,1.53015,1.82542,0.42587,0.65421,0.4572,1.70641,1.21449,0.90974,0.91666,0,1.50037,1.22814,1.41509,1.68986,1.70231,1.91137,1.11464,1.32605,1.80437,2.04941,1.54825,0.30117,0.70447,1.56233,1.46112,1.84554,1.86834,1.33069,0.54778,1.21449,1.2595,1.28395,1.47797,1.2595,1.43532,0.99229,1.62087,0.24131,0.29867,0.6543,0.55373,0.74387,0.6543,0.50579,0.58297,0.50579,0.50579,0.41946,0.43987,0.56459,0.68511,0.74387,0.74387,0.91666,0.01762,0.25961,0.1661,0.22366,0.40795,0.82217,0.86008,1.32872,1.70918,1.81052,1.81052,1.81052,1.68068,2.00867,1.92157,1.19289,1.23833,0.74063,2.02705,0.68511,0.60472
Taska UiTM Shah Alam,0.46527,0.20902,0.46123,0.62467,0.9551,1.36102,1.47212,1.39235,0.38085,0.58188,0.59063,2.28477,1.50037,0,0.32266,0.54477,0.81954,0.832,1.28385,0.92617,0.43515,1.55092,1.17909,0.2227,1.46935,1.16979,1.1577,1.05649,0.55201,0.63074,0.65282,0.95259,0.58188,0.42195,0.40543,0.15242,0.42195,0.11548,1.45761,0.71539,1.74168,1.79904,1.97984,1.87927,1.35999,1.97984,1.44093,1.51811,1.44093,1.44093,1.3546,1.37502,1.18072,1.30123,1.35999,1.35999,2.28477,1.51799,1.59735,1.33428,1.27671,1.46101,1.22699,1.26489,1.70849,1.63029,1.55707,1.55707,1.55707,1.42723,1.13835,1.05125,0.35534,1.64314,1.69737,1.2487,1.30123,1.45104
Dewan Platinum Kolej Melati,0.665,0.40876,0.66096,0.30201,0.63244,1.08879,1.19989,1.12012,0.58059,0.30965,0.3184,2.01254,1.22814,0.32266,0,0.22211,0.49688,0.50934,0.96119,1.12591,0.11249,1.22826,0.85644,0.42243,1.19712,0.89756,1.35744,1.25623,0.6174,0.6402,0.38059,0.68036,0.30965,0.10186,0.08277,0.35216,0.10186,0.20718,1.18538,0.39273,1.46945,1.52681,1.70761,1.60704,1.08776,1.70761,1.1687,1.24588,1.1687,1.1687,1.08237,1.10279,0.90848,1.029,1.08776,1.08776,2.01254,1.24576,1.32512,1.06204,1.00448,1.18878,0.95475,0.99266,1.38583,1.30764,1.23442,1.23442,1.23442,1.10457,0.8157,0.72859,0.03525,1.37091,1.42514,0.92605,1.029,1.17881
Dewan Mawar Qaseh,0.81345,0.63087,0.69593,0.27622,0.4756,1.27573,1.38684,1.30706,0.78358,0.4966,0.50535,2.19948,1.41509,0.54477,0.22211,0,0.34004,0.3525,0.80435,1.34802,0.10966,1.07142,0.6996,0.62542,1.38407,1.0845,1.57956,1.47834,0.58756,0.61037,0.56754,0.86731,0.4966,0.31638,0.13934,0.55514,0.31638,0.42929,1.37232,0.30431,1.6564,1.71376,1.89456,1.79399,1.27471,1.89456,1.35565,1.43283,1.35565,1.35565,1.26932,1.28973,1.09543,1.21595,1.27471,1.27471,2.19948,1.43271,1.51207,1.24899,1.19143,1.37573,1.1417,1.17961,1.22899,1.1508,1.07758,1.07758,1.07758,0.94773,0.65885,0.57175,0.24977,1.36427,1.61209,0.7692,1.21595,1.36576
Unit Bengkel Kenderaan UiTM Shah Alam,0.95382,0.90564,0.8363,0.55098,0.19706,1.5505,1.66161,1.58183,1.05834,0.77137,0.78011,2.47425,1.68986,0.81954,0.49688,0.34004,0,0.27143,0.51499,1.51434,0.38443,0.78206,0.42105,0.90019,1.65884,1.35927,1.74587,1.64465,0.72793,0.75074,0.8423,1.14208,0.77137,0.59114,0.41411,0.82991,0.59114,0.70406,1.64709,0.44468,1.93116,1.98853,2.16933,2.06875,1.54948,2.16933,1.63042,1.7076,1.63042,1.63042,1.54409,1.5645,1.3702,1.49072,1.54948,1.54948,2.47425,1.70748,1.78683,1.52376,1.4662,1.6505,1.41647,1.45438,0.93963,0.86143,0.78821,0.78821,0.78821,0.65837,0.31881,0.29321,0.52453,1.07491,1.88686,0.47984,1.49072,1.64053
"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",0.96628,0.9181,0.84876,0.56344,0.42058,1.56296,1.67406,1.59429,1.0708,0.78383,0.79257,2.48671,1.70231,0.832,0.50934,0.3525,0.27143,0,0.73851,1.52679,0.39689,1.00558,0.64457,0.91264,1.67129,1.37173,1.75833,1.65711,0.74039,0.7632,0.85476,1.15453,0.78383,0.6036,0.42657,0.84237,0.6036,0.71652,1.65955,0.45714,1.94362,2.00099,2.18178,2.08121,1.56193,2.18178,1.64288,1.72005,1.64288,1.64288,1.55655,1.57696,1.38266,1.50317,1.56193,1.56193,2.48671,1.71993,1.79929,1.53622,1.47866,1.66295,1.42893,1.46684,1.16314,1.08495,1.01173,1.01173,1.01173,0.88189,0.59025,0.51673,0.53699,1.29843,1.89931,0.70336,1.50317,1.65299
Akademi Pengajian Bahasa,1.4209,1.36995,1.30338,1.01529,0.56255,1.77998,2.0263,1.81131,1.52266,1.23568,1.24443,2.82804,1.91137,1.28385,0.96119,0.80435,0.51499,0.73851,0,1.98141,0.84874,0.42508,0.41395,1.3645,1.88035,1.72396,2.21294,2.11173,1.19501,1.21782,1.30662,1.36359,1.23568,1.05546,0.87842,1.29422,1.05546,1.16837,2.01178,0.91176,2.15268,2.21004,2.53401,2.43344,1.91416,2.53401,1.85989,1.93707,1.85989,1.85989,1.77356,1.79398,1.73489,1.8554,1.91416,1.91416,2.82804,1.92899,2.00835,1.74528,1.68772,1.87201,1.0892,1.35491,0.58265,0.50446,0.43124,0.43124,0.43124,0.30139,0.27578,0.28611,0.98884,0.71794,2.25154,0.12497,1.8554,1.39307
Pintu Seksyen 2,0.80447,0.79126,0.87711,1.42792,1.65876,1.14458,0.67463,1.17591,1.1841,1.38513,1.39388,1.42754,1.11464,0.92617,1.12591,1.34802,1.51434,1.52679,1.98141,0,1.2384,2.24848,1.88276,1.02594,1.40077,0.98168,0.48896,0.38774,0.9679,1.03434,1.45607,1.19253,1.38513,1.2252,1.20868,0.95567,1.2252,0.91873,1.2695,1.26803,1.01447,1.07183,1.12262,1.02205,0.91023,1.12262,1.2245,1.30168,1.2245,1.2245,1.13817,1.15858,0.93352,0.74668,0.91023,0.91023,1.42754,1.13226,1.37426,1.2657,1.20814,1.39244,1.46692,1.50483,1.97347,2.32785,2.25463,2.25463,2.25463,2.12479,1.83315,1.75492,1.15859,1.88308,0.87005,1.94626,0.74668,1.47924
Dataran Cendekiawan,0.7775,0.52125,0.6651,0.24134,0.51999,1.1867,1.2978,1.21803,0.69308,0.40757,0.41631,2.11045,1.32605,0.43515,0.11249,0.10966,0.38443,0.39689,0.84874,1.2384,0,1.11581,0.74398,0.53492,1.29503,0.99547,1.46993,1.36872,0.55673,0.57953,0.4785,0.77827,0.40757,0.21435,0.0421,0.46465,0.21435,0.31967,1.28329,0.33206,1.56736,1.62473,1.80552,1.70495,1.18567,1.80552,1.26662,1.34379,1.26662,1.26662,1.18029,1.2007,1.0064,1.12691,1.18567,1.18567,2.11045,1.34367,1.42303,1.15996,1.1024,1.28669,1.05267,1.09058,1.27337,1.19518,1.12196,1.12196,1.12196,0.99212,0.70324,0.61614,0.14774,1.40866,1.52305,0.81359,1.12691,1.27672
Kolej Anggerik,1.68796,1.63702,1.57045,1.28236,0.82961,1.67297,1.91929,1.7043,1.78972,1.50275,1.51149,2.72103,1.80437,1.55092,1.22826,1.07142,0.78206,1.00558,0.42508,2.24848,1.11581,0,0.68101,1.63156,1.77334,1.61695,2.48001,2.37879,1.46208,1.48488,1.57368,1.25659,1.50275,1.32252,1.14549,1.56129,1.32252,1.43544,1.90477,1.17883,2.04567,2.10304,2.42701,2.32644,1.80716,2.42701,1.75289,1.83007,1.75289,1.75289,1.66656,1.68697,1.62788,1.7484,1.80716,1.80716,2.72103,1.82199,1.90134,1.63827,1.58071,1.76501,0.98219,1.2479,0.47564,0.42726,0.14329,0.14329,0.14329,0.12369,0.61522,0.55317,1.25591,0.61093,2.14454,0.54076,1.7484,1.28606
Makmal Fakulti Kejuruteraan Kimia,1.32225,1.26519,1.20473,0.91054,0.45779,1.91005,2.02116,1.94138,1.4179,1.13092,1.13967,2.83381,2.04941,1.17909,0.85644,0.6996,0.42105,0.64457,0.41395,1.88276,0.74398,0.68101,0,1.25974,2.01839,1.71882,2.11429,2.01308,1.09636,1.11916,1.20186,1.50163,1.13092,0.9507,0.77366,1.18946,0.9507,1.06361,2.00664,0.81311,2.29072,2.34808,2.52888,2.42831,1.90903,2.52888,1.98997,2.06715,1.98997,1.98997,1.90364,1.92405,1.72975,1.85027,1.90903,1.90903,2.8338,2.06703,2.14639,1.88331,1.82575,2.01005,1.34513,1.61084,0.83858,0.76039,0.68717,0.68717,0.68717,0.55733,0.28813,0.14002,0.88409,0.97387,2.24641,0.3788,1.85027,1.649
Kompleks Kolam Renang UiTM Shah Alam,0.56504,0.30879,0.561,0.72444,1.03575,1.4089,1.52,1.44022,0.16013,0.62976,0.63851,2.33265,1.54825,0.2227,0.42243,0.62542,0.90019,0.91264,1.3645,1.02594,0.53492,1.63156,1.25974,0,1.51723,1.21767,1.25748,1.15626,0.65179,0.73051,0.7007,1.00047,0.62976,0.46983,0.49428,0.07028,0.46983,0.21526,1.50549,0.81517,1.78956,1.84692,2.02772,1.92715,1.40787,2.02772,1.48881,1.56599,1.48881,1.48881,1.40248,1.4229,1.22859,1.34911,1.40787,1.40787,2.33265,1.56587,1.64523,1.38215,1.32459,1.50889,1.27486,1.31277,1.78141,1.71094,1.63772,1.63772,1.63772,1.50787,1.219,1.1319,0.40322,1.69102,1.74525,1.32935,1.34911,1.49892
